recipe_name,ingredients,directions
Harvest Salad,"½ cup chopped walnuts, 1 bunch spinach, rinsed and torn into bite-size pieces, ½ cup dried cranberries, ½ cup crumbled blue cheese, 2  tomatoes, chopped, 1  avocado - peeled, pitted and diced, ½  red onion, thinly sliced, 2 tablespoons red raspberry jam (with seeds), 2 tablespoons red wine vinegar, �?cup walnut oil,   freshly ground black pepper to taste,   salt to taste","Preheat oven to 375 degrees F (190 degrees C). Arrange walnuts in a single layer on a baking sheet. Toast in oven for 5 minutes, or until nuts begin to brown.
In a large bowl, toss together the spinach, walnuts, cranberries, blue cheese, tomatoes, avocado, and red onion.
In a small bowl, whisk together jam, vinegar, walnut oil, pepper, and salt. Pour over the salad just before serving, and toss to coat.









"
Warm Shrimp Salad,"1 pound medium shrimp - peeled and deveined, 2 tablespoons butter, 2  lemons, juiced, 2 heads butter lettuce, 2  tomatoes, chopped, 1  avocado - peeled, pitted and diced, 2 stalks celery, chopped, 1  cucumber, cleaned and chopped, ½ cup shredded carrots, �?cup vinaigrette salad dressing","In a large saute pan melt butter over medium heat. Add the shrimp and lemon juice, cook until shrimp just turn pink. Remove from heat and drain.
In a large bowl tear lettuce into bite-size pieces, add the tomatoes, avocado, celery, cucumber carrots and cooked shrimp, toss to combine. Top with your favorite dressing or vinaigrette."
Avocado Soup with Chicken and Lime,"4 (6 inch) corn tortillas, julienned, 1 ½ tablespoons olive oil, 1  white onion, sliced thinly, 8 cloves garlic, thinly sliced, 4  fresh jalapeno peppers, sliced, 8 ounces skinless, boneless chicken breast halves - cut into thin strips, 1 quart chicken broth, ¼ cup fresh lime juice, 1  tomato, seeded and diced,   salt and ground black pepper to taste, 1  avocado - peeled, pitted and diced, ¼ cup chopped fresh cilantro","Preheat oven to 400 degrees F (200 degrees C). Arrange tortilla strips on a baking sheet.
Bake in the preheated oven until lightly browned, 3 to 5 minutes.
Heat oil in a large saucepan over medium heat. Cook onion, garlic, and jalapenos in oil until lightly browned, 4 to 5 minutes. Stir in chicken, chicken broth, lime juice, tomato, salt and pepper. Gently simmer until chicken is no longer pink, about 10 minutes. Stir in avocado and cilantro and heat through, 3 to 5 minutes. Adjust seasonings to taste.
Ladle soup into bowls and sprinkle with tortilla strips to serve."
Meyer Lemon Avocado Toast,"2 slices whole grain bread, ½  avocado, 2 tablespoons chopped fresh cilantro, or more to taste, 1 teaspoon Meyer lemon juice, or to taste, ¼ teaspoon Meyer lemon zest, 1 pinch cayenne pepper, 1 pinch fine sea salt, ¼ teaspoon chia seeds","Toast bread slices to desired doneness, 3 to 5 minutes.
Mash avocado in a bowl; stir in cilantro, Meyer lemon juice, Meyer lemon zest, cayenne pepper, and sea salt. Spread avocado mixture onto toast and top with chia seeds."
Mexican Baked Fish,"1 ½ pounds cod, 1 cup salsa, 1 cup shredded sharp Cheddar cheese, ½ cup coarsely crushed corn chips, 1  avocado - peeled, pitted and sliced, ¼ cup sour cream","Preheat oven to 400 degrees F (200 degrees C). Lightly grease one 8x12 inch baking dish.
Rinse fish fillets under cold water, and pat dry with paper towels. Lay fillets side by side in the prepared baking dish. Pour the salsa over the top, and sprinkle evenly with the shredded cheese. Top with the crushed corn chips.
Bake, uncovered, in the preheated oven for 15 minutes, or until fish is opaque and flakes with a fork. Serve topped with sliced avocado and sour cream."
Easy Never Forgotten Guacamole,"3  avocados - peeled, pitted and diced, 1 tablespoon sour cream, 2 (3 ounce) packages cream cheese, softened, 2 tablespoons salsa, 1 pinch salt, 1 dash ground black pepper, 1 dash garlic salt, 1 dash onion powder","In a small bowl, mix together the avocados, sour cream, cream cheese and salsa. Blend to desired consistency.
In a small bowl mix the salt, pepper, garlic salt and onion powder. Stir into the avocado mixture. Cover and chill in the refrigerator 1/2 hour before serving."
Avocado Dressing,"1  avocado, peeled and pitted, ½ cup plain yogurt, ¼ cup extra-virgin olive oil, 3 tablespoons lemon juice, 2 cloves garlic, 1 teaspoon sea salt, ¼ teaspoon hot pepper sauce, �?teaspoon ground black pepper","Blend avocado, yogurt, olive oil, lemon juice, garlic, sea salt, hot sauce, and black pepper together in a blender until smooth."
Avocado Egg Salad,"6  hard-boiled eggs, peeled, 2  avocados - peeled, pitted, and cubed, ½ cup minced red onion, 3 tablespoons chopped sweet pickles, 1 tablespoon prepared yellow mustard, �?cup mayonnaise,   salt and pepper to taste","Mash the eggs with a fork in a mixing bowl to break up. Add the avocado, onion, pickle, mustard, and mayonnaise. Gently smash the ingredients together until blended. Season to taste with salt and pepper."
Absolutely Amazing Ahi,"¾ pound sashimi grade tuna steak, diced, ½ cup diced cucumber, 1  avocados - peeled, pitted and diced, ¼ cup chopped green onion, 1 ½ teaspoons red pepper flakes, 1 tablespoon toasted sesame seeds, 1 ½ teaspoons lemon juice, 2 teaspoons sesame oil, ½ cup soy sauce","In a medium bowl, combine the tuna, cucumber, avocado, green onion, red pepper flakes and sesame seeds. Pour in the lemon juice, sesame oil and soy sauce, and stir carefully to blend so as not to mash the avocado. Place this bowl into a larger bowl that has been filled with ice. Chill in the refrigerator for 15 minutes, but no longer - the terrific freshness of the fish will be lost.
Once chilled, remove the bowl from the ice, and invert onto a serving plate. Serve with toasted bread or your favorite crackers."
Quick and Easy Guacamole,"2  avocados - peeled, pitted, and diced, 2  green onions, chopped, 1 tablespoon chopped fresh cilantro, 1 teaspoon seasoned salt, 1 teaspoon ground black pepper, 1 teaspoon garlic, minced, ½  lime, juiced","Combine avocado, green onion, cilantro, seasoned salt, black pepper, garlic, and lime juice in a bowl; mash with a spoon or potato masher until mostly smooth with small chunks."
Mexican Botana Platter,"2 pounds beef skirt steak, 2 pounds boneless chicken thighs, 2 teaspoons fajita seasoning, 2 ½ teaspoons garlic powder, divided, 2 cups refried beans,   salt to taste,   lemon pepper to taste, 4  avocados - peeled, pitted, and mashed, 1 cup corn oil, 24  corn tortillas, 1 medium green bell pepper, chopped, 1 medium onion, chopped, �?bunch cilantro, chopped, 1 (16 ounce) package shredded American cheese, 12 ounces sour cream, 2 large tomatoes, chopped, 4  pickled jalapeno peppers, sliced (Optional)","Preheat oven to 350 degrees F (175 degrees C).
Rub beef and chicken with fajita seasoning and 2 teaspoons garlic powder. Cut beef and chicken into 1-inch strips, and set aside.
In a saucepan, warm refried beans over medium-low heat.
Stir salt, lemon pepper, and 1/2 teaspoon garlic powder into mashed avocados. Set aside.
Heat corn oil in a deep skillet over medium-high heat. Cut tortillas in half, then cut in half again to make 4 triangular pieces per tortilla. Place into the skillet as many tortilla pieces as will fit without overlapping, and fry until crisp; repeat this process until all the tortilla pieces have been fried. Remove crisp tortillas to paper towels. Discard oil, and wipe out skillet.
Return skillet to medium heat, and stir in beef, chicken, bell pepper, and onion. Cook, stirring occasionally, about 7 minutes; then stir in cilantro.
Layer the tortilla pieces along the bottom of a large baking dish. Spread refried beans evenly over tortilla pieces. Sprinkle cheese over beans, then spread meat mixture evenly on top.
Bake in preheated oven until cheese and beans are bubbly, about 20 minutes. Remove from oven, and drop sour cream and guacamole by tablespoonfuls in various places across the top. Sprinkle tomatoes and jalapenos on top."
Salsa Salad,"4 large ripe tomatoes, cut into bite-size pieces, 1 bunch cilantro, stems cut off and leaves coarsely chopped, 1 large green bell pepper, cut into bite-size pieces, 1 large red bell pepper, cut into bite-size pieces , 2  jalapeno peppers, finely chopped, 3  green onions, chopped, ½  sweet red onion, chopped, 2 large avocados, pitted and cut into bite-sized pieces, 1  lime, juiced, ½ teaspoon salt, or to taste","In a large salad bowl, lightly mix the tomatoes, cilantro, green and red bell peppers, jalapeno peppers, green onions, and sweet red onion until thoroughly combined. Gently toss with avocado pieces, and squeeze lime juice over the salad. Sprinkle with salt to serve."
Avocado Dessert,"1  avocado, peeled and pitted, ½ cup milk, ¼ cup white sugar, ½ teaspoon vanilla extract","Mash avocado with an electric mixer, or use a food processor. Blend in the milk, sugar and vanilla until smooth. Chill for about 20 minutes before serving."
Black Bean Breakfast Bowl,"2 tablespoons olive oil, 4  eggs, beaten, 1 (15 ounce) can black beans, drained and rinsed, 1  avocado, peeled and sliced, ¼ cup salsa,   salt and ground black pepper to taste","Heat olive oil in a small pan over medium heat. Cook and stir eggs until eggs are set, 3 to 5 minutes.
Place black beans in a microwave-safe bowl. Heat on High in the microwave until warm, about 1 minute.
Divide warmed black beans between two bowls.
Top each bowl with scrambled eggs, avocado, and salsa. Season with salt and black pepper."
Avocado Cream Sauce,"2  avocados, 2 cloves garlic, ½  lime, juiced, or to taste, 2 tablespoons chopped green onions, 1 tablespoon chopped fresh cilantro, ½ tablespoon chopped fresh tarragon, 2 tablespoons butter, ¼ cup heavy cream,   salt to taste","Combine avocados, garlic, lime juice, green onions, cilantro, and tarragon in a food processor; puree until smooth.
Melt butter in a saucepan over low heat. Stir in avocado puree and cook over low heat, stirring occasionally, until heated through, about 5 minutes. Add cream and cook until heated through, but not boiling. Season with salt."
Mean Green Guacamole Salsa,"10  fresh tomatillos, husks removed, 2  fresh jalapeno peppers, stems removed, 1 bunch fresh cilantro, stems trimmed, 3  avocados, peeled and pitted, 1 tablespoon garlic powder,   salt to taste","Bring a pot of water to a boil and stir in tomatillos and jalapenos. Boil until tomatillos turn bright green and soft, about 10 minutes.
Place cilantro, avocados, cooked tomatillos, and cooked jalapenos into a blender, working in batches if necessary. Blend until smooth, 1 to 2 minutes. Add about 1 tablespoon of tomatillo cooking water, or as needed, if salsa is too thick.
Stop the blender, and season the salsa with garlic powder and salt to taste. Blend again briefly to mix in the seasonings. Transfer to a bowl for serving."
Apricot Pork Tenderloin,"2 pounds pork tenderloin, ¼ cup softened butter,   salt and pepper to taste, 1 teaspoon ground thyme, 2 teaspoons garlic powder, 1 (18 ounce) jar apricot preserves, 2 tablespoons honey, or to taste, ¼ cup dry sherry","Preheat an oven to 350 degrees F (175 degrees C).
Spread butter all over the pork tenderloin. Season with salt, pepper, and thyme. Combine garlic powder, apricot preserves, honey, and sherry in a separate bowl.
Roast the pork in the preheated oven for 30 to 40 minutes. Remove the pork from the oven and brush with the apricot sauce. Return the pork to the oven. Continue roasting, basting occasionally with the remaining sauce, until the pork is no longer pink in the center, about 15 minutes. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C)."
Apricot Pie,"2 ½ cups all-purpose flour, 1 teaspoon salt, 1 cup butter-flavored shortening, 6 tablespoons water, or as needed, 1 cup white sugar, ¼ cup all-purpose flour, ¼ teaspoon ground cinnamon, 1 teaspoon lemon juice, 5 cups fresh apricots, pitted and quartered , 1 teaspoon sugar for sprinkling, or as desired","Preheat oven to 425 degrees F (220 degrees C).
Mix 2 1/2 cups of flour and the salt in a bowl; cut the shortening into the flour mixture with a pastry cutter until the mixture is crumbly. Using a fork, mix in water, 1 tablespoon at a time, until the dough just holds together. Divide the dough in half and form each half into a ball. Working on a floured work surface, roll each ball out into a crust big enough for a 9-inch pie dish with an inch or so to spare. Carefully lift a crust, fold into quarters, position into pie dish, and unfold the crust. Set the other crust aside.
Mix the sugar, 1/4 cup flour, and cinnamon together in a large bowl until thoroughly combined; stir in the lemon juice and apricots. Spoon the apricot filling over the pie crust in the dish, and top with the reserved crust. Crimp the edges of the crusts together with a fork, cut away the excess crust, and cut slits into the pie to allow steam to escape. Cover the edges of the pie crust with strips of aluminum foil to prevent burning.
Bake on center rack of the preheated oven until the pie is browned and the filling is bubbling and thickened, 35 to 45 minutes. Remove to a rack to cool and sprinkle top with 1 teaspoon of sugar."
Apricot Brown Sugar Ham,"1 (10 pound) fully-cooked spiral cut ham, �?cup brown sugar, �?cup apricot jam, 1 teaspoon dry mustard powder","Preheat the oven to 275 degrees F (135 degrees C).
Place the ham cut side down onto a sheet of aluminum foil. I like to put the shiny side up. Mix together the brown sugar, apricot jam, and mustard powder in a small bowl. Brush onto the ham using a pastry or barbeque brush. Reserve any leftover glaze. Enclose the foil around the ham and place on a rimmed baking sheet.
Roast for 2 hours in the preheated oven, or if your ham is a different size, figure 14 minutes per pound. Apply the remaining glaze 20 minutes before the ham is done.











Dotdash Meredith Food Studios
"
Fresh Apricot Cobbler,"1 cup water, ¾ cup white sugar, 1 tablespoon cornstarch, ¼ teaspoon ground cinnamon, �?teaspoon ground nutmeg, 6 cups halved fresh apricots, 1 tablespoon butter","Preheat oven to 400 degrees F (200 degrees C).
Bring water, 3/4 cup sugar, cornstarch, cinnamon, and nutmeg to a boil; stir until thickened, about 1 minutes. Reduce heat to medium and add apricots and 1 tablespoon butter. Simmer until heated through, about 5 minutes. Transfer mixture to a 9x13-inch baking dish.
Combine flour, 1/4 cup sugar, baking powder, and salt in a large bowl. Cut 7 tablespoons butter into flour mixture until mixture resembles a coarse crumb. Stir milk into crumbles until topping is just moistened. Spoon topping over apricot mixture. Sprinkle remaining 2 tablespoons sugar over topping.
Bake in the preheated oven until golden brown, 30 to 35 minutes."
Apricot-Glazed Pork Chops,"�?cup apricot preserves, �?cup fruity white wine, such as Gewurztraminer, ½ teaspoon ground ginger,   salt and pepper to taste, 2 tablespoons olive oil, 4  boneless pork chops, 1/2 inch thick ","Mix the apricot preserves, wine, and ground ginger together in a small bowl; set aside.
Season the pork chops with salt and pepper. Heat the olive oil in a skillet over medium high heat. Add the pork chops and cook until brown on each side, and no longer pink in the center, about 4 minutes per side. Remove chops from the skillet. Reduce heat to medium low. Using the same skillet, pour in the apricot preserves mixture and simmer until thickened, about 4 minutes. Return pork chops to the skillet, turning to coat each side in the sauce; cook 1 minute."
Dried Apricot Jam,"4 ½ cups dried apricots, 4 ½ cups boiling water, 1 teaspoon vanilla extract, 1 (1.75 ounce) package powdered fruit pectin, 7 cups white sugar, ¼ cup lemon juice","Soak apricots in boiling water in a bowl until hydrated, about 30 minutes. Blend apricots, remaining water, and vanilla extract in a food processor, working in batches, until blended but still slightly chunky.
Combine apricot mixture with pectin in a large pot over medium heat; cook until just boiling. Add sugar and lemon juice; boil until sugar has dissolved, 1 to 2 minutes.
Sterilize jars and lids in boiling water for at least 5 minutes. Pack the apricot jam into the hot, sterilized jars, filling the jars to within 1/4-inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil, then carefully lower the jars into the pot using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil, cover the pot, and process for 10 minutes.
Remove jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool, about 1 hour. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area."
Slow Cooker Chicken Tagine,"8  skinless, boneless chicken thighs, 2 large onions, thinly sliced, 4 large carrots, thinly sliced, ½ cup raisins, ½ cup dried apricots, chopped, 2 cups chicken broth, 2 tablespoons tomato paste, 2 tablespoons lemon juice, 2 tablespoons all-purpose flour, 2 teaspoons garlic salt, 2 teaspoons ground cumin, 1 ½ teaspoons ground ginger, 1 teaspoon ground cinnamon, 1 teaspoon Hungarian paprika, 1 teaspoon ground black pepper, 3 cups water, 2 cups couscous , 1 tablespoon butter","Layer chicken thighs, onions, carrots, raisins, and apricots in a slow cooker.
Whisk chicken broth, tomato paste, lemon juice, flour, garlic salt, cumin, ginger, cinnamon, paprika, and pepper together in a bowl. Pour over chicken and vegetables.
Cook on High 4 1/2 hours or on Low for 7 1/2 hours. Shred chicken slightly using 2 forks. Continue cooking 30 minutes.
Bring 3 cups water to a boil in a saucepan; remove from heat and stir in couscous and butter. Cover saucepan and let stand until water is absorbed completely, 5 to 10 minutes. Fluff couscous with a fork. Serve chicken tagine over couscous."
Apricot Chutney,"½ whole head garlic, ¼ teaspoon olive oil, 1 large onion, chopped, 1 tablespoon olive oil, 3 cups apricot preserves, 1 cup white vinegar, 2 teaspoons ground ginger, ½ teaspoon cayenne pepper, ½ teaspoon salt","Preheat oven to 450 degrees F (230 degrees C).
Slice the top off the half head of garlic with a sharp knife, exposing the cloves. Discard the top. Place the head of garlic on a piece of aluminum foil, drizzle with 1/4 teaspoon of olive oil, and wrap the foil around the garlic. Roast in the preheated oven until golden brown, 30 to 40 minutes.
While garlic is roasting, place the onion and 1 tablespoon of olive oil into a saucepan over medium heat and cook and stir until the onion is browned, 10 to 15 minutes. Remove from heat. Stir in the apricot preserves, vinegar, ginger, cayenne pepper, and salt until thoroughly combined.
Squeeze the roasted garlic cloves out of their skins, and mash them in a bowl with a spoon. Mix the garlic into the chutney; bring to a boil over medium heat. Reduce heat and simmer until thickened, about 25 minutes, stirring occasionally. Stir carefully because any splashes of chutney will be burning hot.
Pack the chutney into sterilized jars and process to seal."
Apricot Cream Cheese Thumbprints,"1 ½ cups butter, softened, 1 ½ cups white sugar, 1 (8 ounce) package cream cheese, softened, 2  eggs, 2 tablespoons lemon juice, 1 ½ teaspoons lemon zest, 4 ½ cups all-purpose flour, 1 ½ teaspoons baking powder, 1 cup apricot preserves, �?cup confectioners' sugar for decoration","In a large bowl, cream together the butter, sugar, and cream cheese until smooth. Beat in the eggs one at a time, then stir in the lemon juice and lemon zest. Combine the flour and baking powder; stir into the cream cheese mixture until just combined. Cover, and chill until firm, about 1 hour.
Preheat oven to 350 degrees F (175 degrees C). Roll tablespoonfuls of dough into balls, and place them 2 inches apart on ungreased cookie sheets. Using your finger, make an indention in the center of each ball, and fill with 1/2 teaspoon of apricot preserves.
Bake for 15 minutes in the preheated oven, or until edges are golden. Allow cookies to cool on the baking sheets for 2 minutes before removing to wire racks to cool completely. Sprinkle with confectioner's sugar."
Moroccan Beef and Lentil Stew,"2 tablespoons vegetable oil, 2  carrots, chopped, 1  celery stalk, chopped, 1  onion, chopped, 4 cloves garlic, minced, 1 ½ pounds chuck roast, cut into 1-inch cubes, 1 teaspoon salt, or to taste, 1 teaspoon ground turmeric, 1 teaspoon onion powder, 1 teaspoon garlic powder, ½ teaspoon ground black pepper, or to taste, ½ teaspoon ground cinnamon, ½ teaspoon ground ginger, ½ teaspoon ground cumin, ½ teaspoon ground coriander, ¼ teaspoon ground allspice, 3 tablespoons tomato paste, 4 cups low-sodium beef broth, 1 tablespoon molasses, 2  bay leaves, 1 cup dried red lentils, ½ cup dried apricots, chopped, ½  lemon, juiced","Heat oil in a Dutch oven over medium heat. Add carrots, celery, and onion; cook until slightly softened, about 3 minutes. Stir in garlic and cook for 1 minute.
Add beef. Sprinkle salt, turmeric, onion powder, garlic powder, pepper, cinnamon, ginger, cumin, coriander, and allspice over beef and vegetables. Stir to mix. Continue to cook, stirring occasionally, until beef is browned, about 5 minutes.
Stir in tomato paste until combined and cook for 1 minute. Add beef broth, molasses, and bay leaves. Bring stew to a simmer. Reduce heat to low, cover, and cook, stirring occasionally, until beef is tender, about 50 minutes.
Mix in lentils and dried apricots. Bring stew back to a simmer. Cover and cook on low, stirring occasionally, until lentils soften, about 15 minutes. Remove and discard bay leaves. Adjust salt and pepper; mix in fresh lemon juice just before serving."
Dried Apricot Pie,"18 ounces dried apricots, 1 ¾ cups water, 1 tablespoon cornstarch, 1 tablespoon orange liqueur , 1 ¾ cups white sugar, 1 recipe pastry for a 9 inch double crust pie","Preheat oven to 400 degrees F (205 degrees C).
Slice the dried apricots in half. Rinse them with water. Place them in a sauce pan with the water, bring to a boil and cook for 5 minutes.
Combine the cornstarch with the orange liqueur and about 1 tablespoon of the apricots' cooking liquid. Mix until smooth then stir into the cooked apricots. Add the white sugar and combine. Pour mixture into the unbaked pie shell and seal with the top crust. Brush milk over top crust for color, if desired.
Bake at 400 degrees F (205 degrees C) for 1 hour."
Instant Pot Chicken Tagine with Apricots and Chickpeas,"1 tablespoon olive oil, 4  skin-on, bone-in chicken thighs, 1 large onion, sliced, 3 cloves garlic, minced, 1 teaspoon ground cinnamon, 1 teaspoon ground cumin, 1 teaspoon ground turmeric, 1 teaspoon red pepper flakes, 1 pinch saffron, 1 (15 ounce) can diced tomatoes, 1 cup chicken broth, �?cup halved dried apricots,   salt and ground black pepper to taste, 1 (15 ounce) can chickpeas, rinsed and drained, 2 tablespoons chopped fresh mint","Turn on a multi-functional pressure cooker (such as Instant Pot) and select Saute function. Place olive oil in the hot cooker and fry chicken thighs until browned, 2 to 3 minutes per side. Remove chicken from the inner pot and set aside.
Add onion and garlic to the pot, followed by cinnamon, cumin, turmeric, red pepper flakes, and saffron. Cook and stir until onion is soft, about 5 minutes. Press Cancel to leave Saute mode.
Place chicken back into the pot on top of onion mixture. Pour in tomatoes and chicken broth. Sprinkle apricots over the top. Season with salt and pepper. Close and lock the lid.
Select high pressure according to the manufacturer's instructions; set timer for 15 minutes. Allow 10 to 15 minutes for pressure to build.
Release pressure using the natural-release method according to the manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid. Stir in chickpeas and mint leaves."
Fruity Couscous Salad,"1 �?cups dry couscous, 2 cups boiling water, �?cup sweetened dried cranberries, �?cup slivered almonds, ½ cup packed dried apricots, chopped, 3 medium scallions, thinly sliced with greens, 1 teaspoon cumin,   salt and ground black pepper to taste","Place couscous in a bowl and pour boiling water over top. Gently stir, then cover and let sit for 5 minutes.
Meanwhile, place cranberries in a glass liquid measure and add water to cover. Microwave on high for 1 minute; drain.
Add cranberries to the couscous, along with almonds, apricots, scallions, cumin, salt, and pepper. Toss well to combine. Serve at room temperature or chilled."
Moroccan Chicken Tagine,"¼ cup ground cinnamon, ¼ cup ground cumin, 2 tablespoons ground turmeric, 2 tablespoons ground coriander, 2 tablespoons ground ginger, 2 tablespoons crushed dried mint, 1 tablespoon salt, 2 teaspoons ground black pepper","Make the spice mix: Mix cinnamon, cumin, turmeric, coriander, ginger, mint, salt, and pepper together in a bowl. Measure out 1/2 cup spice mix and set remaining mix aside for another use.
Make the tagine: Bring a small pot of water to a boil. Add apricots and raisins and cook until soft, about 5 minutes. Drain, reserving 1/2 cup cooking water.
Place chicken and 1/2 cup reserved spice mix into a bowl; toss until thoroughly coated.
Pour enough olive oil into a large skillet or Dutch oven to coat the bottom; turn heat to medium. Cook chicken in the hot skillet until golden brown and it releases easily from the skillet, 3 to 4 minutes per side. Add onion and garlic; cook and stir until fragrant, 2 to 3 minutes.
Add apricots, raisins, and reserved 1/2 cup cooking water; stir in chicken broth and honey. Cover, reduce the heat to low, and cook until chicken is very tender, 1 1/2 to 2 hours.
Serve chicken garnished with cilantro and almonds."
Simple Apricot-Glazed Meatloaf,"1 ½ pounds ground beef, 1 cup bread crumbs, 1 small onion, minced, 1 large egg, beaten, 2 cloves garlic, minced, 1 ½ tablespoons apricot preserves, 1 tablespoon kosher salt, 1 ½ teaspoons freshly ground black pepper","Preheat the oven to 350 degrees F (175 degrees C).
Make the meatloaf: Combine ground beef, bread crumbs, onion, egg, garlic, apricot preserves, kosher salt, and pepper in a large mixing bowl; mix well until thoroughly combined. Transfer to a 9x5-inch loaf pan.
Bake in the preheated oven for 45 minutes.
Meanwhile, make the glaze: Mix ketchup, apricot preserves, brown sugar, hot sauce, Worcestershire sauce, and cider vinegar together in a medium bowl.
Remove meatloaf from the oven and pour glaze over top. Continue cooking until no longer pink in the center, about 15 minutes longer. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).
Let rest 5 minutes before serving."
Apricot Chicken Curry,"8  chicken drumsticks,   salt and pepper to taste, 2 tablespoons olive oil, 3 cloves garlic, minced, ½ teaspoon red pepper flakes, or to taste, 4 cups apricot nectar, 1 teaspoon cornstarch, or as needed, 1 tablespoon water, 3 tablespoons Madras curry powder, 1 cup dried apricots, 1 large onion, roughly chopped, 1 large green bell pepper, roughly chopped, 4  carrots, thinly sliced, 1  fresh green chile pepper, minced (Optional), ½ cup chopped water chestnuts (Optional)","Preheat an oven to 350 degrees F (175 degrees C). Season the chicken drumsticks with salt and pepper.
Heat olive oil in a large oven-safe skillet over medium heat. Stir in garlic and red pepper flakes; cook and stir until garlic is softened and is fragrant, 1 to 2 minutes. Place the drumsticks in the skillet, and brown the chicken on all sides, about 3 minutes on each side. Transfer the skillet to the oven.
Bake the chicken drumsticks in the preheated oven until no longer pink at the bone and the juices run clear, 7 to 10 minutes.
Bring the apricot nectar to a boil in a large pot over medium-high eat, then reduce heat to medium-low. Mix cornstarch and water together in a small bowl; stir cornstarch mixture and curry powder into the apricot nectar. Add dried apricots. Transfer the baked drumsticks into the apricot mixture.
Heat the skillet used to cook the chicken over medium heat. Stir in the onion, green bell pepper, carrots, and green chile pepper; cook and stir until the onion has softened. Pour the drumsticks and apricot sauce into the skillet. Cover and simmer until the vegetables are tender, about 10 minutes. Season with salt and pepper. Stir in water chestnuts just before serving."
Apricot Leather,"1 teaspoon lemon juice, 2 cups pitted and diced fresh apricots, ½ cup white sugar","Preheat the oven to 150 degrees F (165 degrees C), or the lowest setting you have.
Combine lemon juice, apricots, and sugar in a saucepan. Cook over medium heat until sugar has dissolved. Transfer to a blender and puree until smooth.
Cover an 11x17-inch pan or cookie sheet with a layer of plastic wrap. Pour pureed fruit onto the prepared pan and spread evenly to within 1 inch of the edge.
Bake for 4 to 6 hours in the preheated oven, using a spoon or a pair of tongs to keep the door slightly ajar, or until puree has dried and is no longer sticky. Once dry, you can cut it into strips; store in an airtight container."
Fresh Apricot Crisp,"4 cups apricot halves, ¼ cup white sugar, ¾ cup brown sugar, ½ cup all-purpose flour, ½ cup butter, ¾ cup rolled oats","Preheat the oven to 350 degrees F (175 degrees C).
Arrange apricots in a 9x12-inch baking dish and sprinkle with white sugar.
Mix together brown sugar and flour in a bowl; cut in butter with a pastry cutter until mixture resembles coarse crumbs. Lightly stir in rolled oats and spoon mixture over apricots.
Bake in the preheated oven until fruit is soft and topping is browned and crisp, 35 to 40 minutes."
Apricot Lentil Soup,"3 tablespoons olive oil, 1  onion, chopped, 2 cloves garlic, minced, �?cup dried apricots, 1 ½ cups red lentils, 5 cups chicken stock, 3  roma (plum) tomatoes - peeled, seeded and chopped, ½ teaspoon ground cumin, ½ teaspoon dried thyme,   salt to taste,   ground black pepper to taste, 2 tablespoons fresh lemon juice","Saute onion, garlic, and apricots in olive oil. Add lentils and stock. Bring to a boil, then reduce heat and simmer 30 minutes.
Stir in tomatoes, and season with cumin, thyme, and salt and pepper to taste. Simmer for 10 minutes.
Stir in lemon juice. Puree 1/2 of the soup in a blender, then return to the pot. Serve."
Oat-Free and Gluten-Free Granola Bars (Clean Eating),"1 ¼ cups almonds, divided, 1 ¼ cups sunflower seeds, divided, 2 cups shredded unsweetened coconut, 1 cup diced dried apricots, 1 ½ cups coconut oil, ½ cup honey, ¼ cup ground cinnamon, or as needed, 1 teaspoon vanilla extract, ½ teaspoon salt","Place 3/4 cups almonds and 3/4 cups sunflower seeds into a food processor; chop until nuts are in 1/4-inch pieces, 1 to 2 minutes. Remove from food processor and pour in a bowl. Place the remaining almonds and sunflower seeds into the food processor; roughly chop into larger pieces, about 1 minute. Mix remaining nuts, seeds, shredded coconut, and dried apricot into the 1/4-inch nuts until fruit and nut mixture is combined.
Combine coconut oil, honey, ground cinnamon, vanilla extract, and salt in a sauce pan over medium-low heat; cook until the coconut oil mixture bubbles and turns a lighter color, 3 to 5 minutes.
Pour coconut oil mixture over the fruit and nut mixture; stir until the granola mixture takes on the consistency of wet sand, about 1 minute.
Line a baking sheet with waxed paper. Pour granola mixture onto the sheet; place a second sheet of waxed paper on top of the granola mixture. Push down on the waxed paper with you hands until the granola mixture has been evenly spread. Pack tightly to ensure that the granola will not fall apart.
Cool until granola has hardened, 2 to 3 hours. Cut into bars."
